drntanguay	#AMIA2014 I'd like to change the Tutorials I signed up for. Anyone know how to do it?	Sun Nov 9 4:54:27 PST 2014   
dr_bob	should've said, at pghd interactive panel S01 #amia2014	Sun Nov 16 12:54:07 PST 2014   
puhfu	Ancker: many measures of HIT use look only a single dimension e.g. CPOE adoption, not holistically at entire #EHR #AMIA2014	Sun Nov 16 12:54:16 PST 2014   
wareflo	RT @arlenechung: Technical solutions to operational barriers #pghd #AMIA2014 http://t.co/QNwMPTvkUV	Sun Nov 16 12:54:31 PST 2014   
arlenechung	@corp_UNC live tweeting from #AMIA2014 ... PGHD and PROs being highlighted!	Sun Nov 16 12:54:33 PST 2014   
trentrosenbloom	RT @bradcrotty: Great Topic - “@DrDannySands: At @jonwald1 panel on #PGHD with @trentrosenbloom @GeisingerHealth @SueWoods others. #AMIA201…	Sun Nov 16 12:54:35 PST 2014   
trentrosenbloom	RT @granitehead: @arlenechung data presented 4 #PGD and #PGHD Inc in #patientEngagement & better #pro 's? #AMIA2014 @DrDannySands @SueWoods…	Sun Nov 16 12:54:42 PST 2014   
titusschleyer	Chairing a panel and at the same time tweeting about it is kind of hard but fun. Nothing beats being at #S02 ;-) . #AMIA2014	Sun Nov 16 12:54:46 PST 2014   
trentrosenbloom	RT @wareFLO: IMO workflow tech been underemphasized RT @trentrosenbloom PGHD themes @jonwald1 #AMIA2014 @AMIAinformatics #PGD #S01 http://t…	Sun Nov 16 12:54:49 PST 2014   
trentrosenbloom	@nwagle @PartnersHealth #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/bQ6S3TRF2w	Sun Nov 16 12:55:14 PST 2014   
drdannysands	Neil Wagle from @PartnersHealth talks about patient-reported outcomes. Provider workflow considerations are critical. #AMIA2014	Sun Nov 16 12:55:29 PST 2014   
puhfu	RT @DrDannySands: Neil Wagle from @PartnersHealth talks about patient-reported outcomes. Provider workflow considerations are critical. #AM…	Sun Nov 16 12:55:40 PST 2014   
ckuziemsky	#S01 "results must be actionable" - yes, technology should help people to do things that are meaningful for patient care #AMIA2014	Sun Nov 16 12:56:17 PST 2014   
dr_bob	RT @rsm2800: Wendling: Geisinger does PHQ2 depression screening via portal pre-visit, then do PHQ9 in clinic (has suicidality question) #AM…	Sun Nov 16 12:56:30 PST 2014   
trentrosenbloom	next up, @carolynkerrigan on PGHD at @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/NNcMJOW4jD	Sun Nov 16 12:56:39 PST 2014   
amiainformatics	Scientific sessions underway. Bookmark #AMIA2014 tagboard https://t.co/yh2sVRfw8V Twitter floodgates open!	Sun Nov 16 12:56:50 PST 2014   
puhfu	@wareFLO MT @DrDannySands: Neil Wagle @PartnersHealth on patient-reported outcomes. Provider workflow considerations critical. #AMIA2014	Sun Nov 16 12:56:54 PST 2014   
wareflo	.@puhfu @dariost #HealthIT lacks executable process models, can't represent what comes next, only infer from unreliable timestamps #AMIA2014	Sun Nov 16 12:56:55 PST 2014   
arlenechung	Reminding folks that we collect PGHD to improvE pt care is impt to sell it to others who may not be on board #AMIA2014	Sun Nov 16 12:57:10 PST 2014   
arlenechung	RT @granitehead: @arlenechung data presented 4 #PGD and #PGHD Inc in #patientEngagement & better #pro 's? #AMIA2014 @DrDannySands @SueWoods…	Sun Nov 16 12:57:20 PST 2014   
chfloudas	RT @trentrosenbloom: Link to the slides for the PGHD panel https://t.co/psT3d0wxg1 #AMIA2014 @AMIAinformatics #PGD #S01	Sun Nov 16 12:57:23 PST 2014   
blancahimes	"I can help you *meet regulatory requirements* by collecting patient data" is what providers like to hear most from @nwagle #AMIA2014	Sun Nov 16 12:57:33 PST 2014   
clinicalmodels	RT @spbail: Stan Huff starts his tutorial with "It's a certain genetic defect that draws people to modeling..." #AMIA2014	Sun Nov 16 12:57:37 PST 2014   
titusschleyer	#S02: "Standards that get used get better." - Picture of Don Lindbergh in the background. Great point! #AMIA2014	Sun Nov 16 12:57:38 PST 2014   
drdannysands	Wagle: #PGHD helps improve pt care, meet reg reqs, demonstrate quality, provide research data, & informs comp effectiveness. #AMIA2014	Sun Nov 16 12:57:47 PST 2014   
trentrosenbloom	@carolynkerrigan a story of PGHD / PROs success @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/Fm3C3MPQRL	Sun Nov 16 12:57:55 PST 2014   
bradcrotty	RT @DrDannySands: Wagle: #PGHD helps improve pt care, meet reg reqs, demonstrate quality, provide research data, & informs comp effectivene…	Sun Nov 16 12:57:59 PST 2014   
travisosterman	filtering alerts before providers can override them? I'll take two #CDS #S09 #AMIA2014	Sun Nov 16 12:58:03 PST 2014   
knitlibrarian	Further upstream you push standardization the better....more that you use standards, the better they get #AMIA2014	Sun Nov 16 12:58:09 PST 2014   
susanchull	RT @trentrosenbloom: @carolynkerrigan a story of PGHD / PROs success @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co…	Sun Nov 16 12:58:12 PST 2014   
ckuziemsky	@FrankFarach @titusschleyer syntax is computer to computer, semantics brings in people so it's a lot harder #AMIA2014	Sun Nov 16 12:58:32 PST 2014   
trentrosenbloom	@carolynkerrigan PGHD PROs question queuing @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/ad4vTHwplZ	Sun Nov 16 12:58:45 PST 2014   
frankfarach	"Standards will get better if users help improve them through new term requests." YES. How might we reduce turnaround time?#AMIA2014 #S02	Sun Nov 16 12:58:46 PST 2014   
knitlibrarian	RT @trentrosenbloom: next up, @carolynkerrigan on PGHD at @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/NNcMJOW4jD	Sun Nov 16 12:58:48 PST 2014   
wareflo	.@puhfu @DrDannySands @PartnersHealth Agree workflow consideration critical. Dont understand why so little use workflow tech in HC #AMIA2014	Sun Nov 16 12:58:55 PST 2014   
anitabaum	#AMIA2014 what a pannel!!! Friedman, Dermer, Lehmann talking about eduaction and acreditation in health informatics http://t.co/5CeNzsHv6W	Sun Nov 16 12:58:59 PST 2014   
wareflo	RT @puhfu: @wareFLO MT @DrDannySands: Neil Wagle @PartnersHealth on patient-reported outcomes. Provider workflow considerations critical. …	Sun Nov 16 12:58:59 PST 2014   
dr_bob	old-fashioned pghd: the chief complaint #amia2014	Sun Nov 16 12:59:03 PST 2014   
protact	#mentalhealth interventions are probably the most efficient and yet the easiest to implement, to improve #care. #AMIA2014	Sun Nov 16 12:59:15 PST 2014   
puhfu	Ancker: frequency of alerts negatively correlated with #EHR acceptance #AMIA2014 #S06	Sun Nov 16 12:59:24 PST 2014   
mkopinsky	#AMIA2014 #S08 Design of post-acute apps is different from chronic. Pt Interviews revealed some interesting points.	Sun Nov 16 12:59:26 PST 2014   
trentrosenbloom	@carolynkerrigan example of PROMIS questions during visits @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/5PMTa64HK7	Sun Nov 16 12:59:32 PST 2014   
drdannysands	Carolyn Kerrigan from @DartmouthHitch captures #PRO s and pt reported risk scores. #PGHD #AMIA2014	Sun Nov 16 12:59:32 PST 2014   
knitlibrarian	Crowdsourcing to share localized vocabulary work #amia2014	Sun Nov 16 12:59:35 PST 2014   
trentrosenbloom	@carolynkerrigan visual / graphical PGHD tools @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/PBJWLgxrl1	Sun Nov 16 12:59:58 PST 2014   
trentrosenbloom	@carolynkerrigansome challenges to PGHD and PROMIS @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/UbiAJBVbfB	Sun Nov 16 13:00:22 PST 2014   
arlenechung	RT @trentrosenbloom: @carolynkerrigansome challenges to PGHD and PROMIS @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://…	Sun Nov 16 13:00:36 PST 2014   
nickreid	RT @trentrosenbloom: @nwagle PROMS at @PartnersHealth #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/NFA82vxuSV	Sun Nov 16 13:00:37 PST 2014   
pattifbrennan	Inspired to get & use #PGHD & want to know where to begin? LB02 1030 Monday to hear IOM's rept: social& behavior domains in EHR #AMIA2014	Sun Nov 16 13:00:39 PST 2014   
susanchull	RT @pattifbrennan: Inspired to get & use #PGHD & want to know where to begin? LB02 1030 Monday to hear IOM's rept: social& behavior domains…	Sun Nov 16 13:00:58 PST 2014   
trentrosenbloom	@carolynkerrigan an example of lifetime breast cancer risk @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/0L7OmQ8apH	Sun Nov 16 13:00:59 PST 2014   
drdannysands	Kerrigan from @DartmouthHitch: Grow culture to value and make use of #PGHD #AMIA2014	Sun Nov 16 13:00:59 PST 2014   
imshealth	Attending #AMIA2014? Drop by our booth #231 during welcome reception. See how we’re driving a new era of #healthcare intelligence.	Sun Nov 16 13:01:00 PST 2014   
mkopinsky	#AMIA2014 #S08 MedMinify is an app that simplifies med regimens to help with adherence. The flip side of what we do in Way to Health.	Sun Nov 16 13:01:11 PST 2014   
askappdev	RT @pattifbrennan: Inspired to get & use #PGHD & want to know where to begin? LB02 1030 Monday to hear IOM's rept: social& behavior domains…	Sun Nov 16 13:01:14 PST 2014   
susanchull	RT @trentrosenbloom: @carolynkerrigan an example of lifetime breast cancer risk @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 …	Sun Nov 16 13:01:16 PST 2014   
kbjvanderbilt	RT @trentrosenbloom: @carolynkerrigansome challenges to PGHD and PROMIS @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://…	Sun Nov 16 13:01:33 PST 2014   
trentrosenbloom	@carolynkerrigan future directions, working on @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/6StaiZTenn	Sun Nov 16 13:01:50 PST 2014   
dbarthjones	@Health_Affairs/@PCORI Hosting Twitter Chat Mon, Nov 17 2-3 p.m. ET on Patient Engagement in #Research. Use Hashtag -> #PatientHC #AMIA2014	Sun Nov 16 13:01:54 PST 2014   
puhfu	Ancker: providers who accepted best practice alerts had higher quality measure performance #AMIA2014 #S06	Sun Nov 16 13:01:58 PST 2014   
trentrosenbloom	RT @DrDannySands: Kerrigan from @DartmouthHitch: Grow culture to value and make use of #PGHD #AMIA2014	Sun Nov 16 13:02:05 PST 2014   
paulaotero	#hiba2014 esta en sintonía con #AMIA2014 Detmer actualizo sobre la acreditación interprofesional en BA y ahora en DC http://t.co/NsSuSTuHLm	Sun Nov 16 13:02:07 PST 2014   
trentrosenbloom	RT @pattifbrennan: Inspired to get & use #PGHD & want to know where to begin? LB02 1030 Monday to hear IOM's rept: social& behavior domains…	Sun Nov 16 13:02:10 PST 2014   
nickreid	RT @protact: #mentalhealth interventions are probably the most efficient and yet the easiest to implement, to improve #care. #AMIA2014	Sun Nov 16 13:02:15 PST 2014   
deansittig	RT @UTHealth_SBMI: Multiple Perspectives on Clinical Decision Support w/ SBMI prof. @deansittig, 3:30p, Lincoln West room. #AMIA2014	Sun Nov 16 13:02:23 PST 2014   
puhfu	Ancker: providers who used panel-level report functions had more patients meeting quality criteria #AMIA2014	Sun Nov 16 13:02:30 PST 2014   
pattifbrennan	RT @rsm2800: But can @trentrosenbloom tweet from the podium WHILE HE'S PRESENTING?? #AMIA2014	Sun Nov 16 13:02:47 PST 2014   
bradcrotty	RT @pattifbrennan: Inspired to get & use #PGHD & want to know where to begin? LB02 1030 Monday to hear IOM's rept: social& behavior domains…	Sun Nov 16 13:03:23 PST 2014   
trentrosenbloom	@carolynkerrigan think through the patient experience? @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/NXO6jyRmvN	Sun Nov 16 13:03:25 PST 2014   
wareflo	.@doctorcharlene @puhfu @DrDannySands @PartnersHealth best way 2 involve users in IT dsign is workflow tech http://t.co/veuRfjxclw #AMIA2014	Sun Nov 16 13:03:30 PST 2014   
arlenechung	Gail risk score rollout produced unintended consequences of increased referrals w/o capacity 2 meet them #AMIA2014	Sun Nov 16 13:03:37 PST 2014   
susanchull	RT @trentrosenbloom: @carolynkerrigan think through the patient experience? @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http…	Sun Nov 16 13:03:46 PST 2014   
arlenechung	RT @trentrosenbloom: @carolynkerrigan think through the patient experience? @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http…	Sun Nov 16 13:03:52 PST 2014   
arlenechung	RT @puhfu: Ancker: providers who used panel-level report functions had more patients meeting quality criteria #AMIA2014	Sun Nov 16 13:03:58 PST 2014   
trentrosenbloom	@carolynkerrigan question dashboard example @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/1jABQ0j65x	Sun Nov 16 13:04:00 PST 2014   
nickreid	RT @puhfu: Ancker: providers who accepted best practice alerts had higher quality measure performance #AMIA2014 #S06	Sun Nov 16 13:04:06 PST 2014   
jessiet1023	RT @RossMartin: Abernethy: think of patient data as a non-depletable resource. The more it's used, the richer it will be. #amia2014	Sun Nov 16 13:04:11 PST 2014   
rsm2800	PGHD: Dartmouth initiated Gail risk model for #breastca via portal but unintended consequence=breast clinic overwhelmed w/ new pts #AMIA2014	Sun Nov 16 13:04:15 PST 2014   
trentrosenbloom	@carolynkerrigan more dashboards @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/SByqWlRuif	Sun Nov 16 13:04:17 PST 2014   
lrasmus	#AMIA2014 #S02 great point/question - dealing with growth in molecular markers we need to represent in standard. Easy to make local term.	Sun Nov 16 13:04:18 PST 2014   
rcbmi	@djvreeman LOINC Want to know more. Indy mtg 12/3 & 12/4. Sign up for a LOINC Premium Membership at booth 320 #AMIA2014 #informatics #loinc	Sun Nov 16 13:04:21 PST 2014   
jessiet1023	RT @titusschleyer: #AMIA2014 @Duke cancer clinic: Chance of missing data @first visit: 10% At 4th or 5th: 2%. When clinicians are engaged, …	Sun Nov 16 13:04:26 PST 2014   
susanchull	RT @RossMartin: Abernethy: think of patient data as a non-depletable resource. The more it's used, the richer it will be. #amia2014	Sun Nov 16 13:04:35 PST 2014   
trentrosenbloom	@carolynkerrigan more more dashboards @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/V37Dnhzo8m	Sun Nov 16 13:04:35 PST 2014   
udivvy	RT @UTHealth_SBMI: Multiple Perspectives on Clinical Decision Support w/ SBMI prof. @deansittig, 3:30p, Lincoln West room. #AMIA2014	Sun Nov 16 13:04:45 PST 2014   
anitabaum	#AMIA2014 see https://t.co/ZyAFgMhfvI for educational competences for health informatics	Sun Nov 16 13:04:52 PST 2014   
arlenechung	RT @trentrosenbloom: @carolynkerrigan question dashboard example @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/1jA…	Sun Nov 16 13:04:56 PST 2014   
jjn447	RT @jessiet1023: Don't forget WINE3 Women in Informatics Networking Event Tues 8pm in the lobby bar! #amia2014	Sun Nov 16 13:04:57 PST 2014   
titusschleyer	#S02 Great question: How do you balance the needs of the real world with the idiosyncracies of standards developing processes? #AMIA2014	Sun Nov 16 13:04:57 PST 2014   
arlenechung	RT @trentrosenbloom: @carolynkerrigan more dashboards @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/SByqWlRuif	Sun Nov 16 13:05:01 PST 2014   
flavioclesio	RT @davekale: slides for my #deeplearning + medical time series talk at #amia2014 #dmmi workshop: http://t.co/VCg7Jgh8f3 @jpatanooga @AMIAi…	Sun Nov 16 13:05:03 PST 2014   
mkopinsky	RT @rsm2800: Abernethy: To get "research quality" clinical data, they had to put the clinic 1st, not the research(er) first i.e., pt-center…	Sun Nov 16 13:05:03 PST 2014   
arlenechung	RT @trentrosenbloom: @carolynkerrigan more more dashboards @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/V37Dnhzo8m	Sun Nov 16 13:05:04 PST 2014   
travisosterman	RT @rsm2800: PGHD: Dartmouth initiated Gail risk model for #breastca via portal but unintended consequence=breast clinic overwhelmed w/ new…	Sun Nov 16 13:05:20 PST 2014   
susanchull	RT @trentrosenbloom: @carolynkerrigan more more dashboards @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/V37Dnhzo8m	Sun Nov 16 13:05:37 PST 2014   
lrasmus	RT @titusschleyer: #S02 Great question: How do you balance the needs of the real world with the idiosyncracies of standards developing proc…	Sun Nov 16 13:05:42 PST 2014   
travisosterman	RT @titusschleyer: #S02 Great question: How do you balance the needs of the real world with the idiosyncracies of standards developing proc…	Sun Nov 16 13:05:59 PST 2014   
rsm2800	PGHD #AMIA2014 Several presenters noted difficulty getting clinician buy-in post early adopter enthusiasm	Sun Nov 16 13:06:03 PST 2014   
paulaotero	@williamhersh the "bellagio pyramids" we worked on in 2008 are still needed #AMIA2014 http://t.co/ztytItTbG1	Sun Nov 16 13:06:08 PST 2014   
trentrosenbloom	@carolynkerrigan also working on outcome measures @DartmouthHitch #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/SrloxhAJga	Sun Nov 16 13:06:16 PST 2014   
puhfu	Ancker: used #MU #CQM for her study because Epic could automatically generate #AMIA2014 #S06 (Could vendor difference impact results?)	Sun Nov 16 13:07:04 PST 2014   
paulaotero	RT @trentrosenbloom: Abernethy: "Let's start talking about healthcare data as a nondepletable resource that gets better as we use it" #amia…	Sun Nov 16 13:07:06 PST 2014   
dr_bob	amia now has > 5000 members #amia2014	Sun Nov 16 13:07:07 PST 2014   
trentrosenbloom	Now @SueWoods is up #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/jtaHh3w9le	Sun Nov 16 13:07:12 PST 2014   
paulaotero	RT @trentrosenbloom: Abernethy: "The more healthcare data gets used, the better it gets...share it!" #amia2014 @AMIAinformatics	Sun Nov 16 13:07:24 PST 2014   
jjn447	RT @pattifbrennan: Inspired to get & use #PGHD & want to know where to begin? LB02 1030 Monday to hear IOM's rept: social& behavior domains…	Sun Nov 16 13:07:34 PST 2014   
puhfu	Ancker study here: http://t.co/vsW0OxL0jX #AMIA2014	Sun Nov 16 13:07:37 PST 2014   
jshcsmth	RT @Vote_ForPedro: "If the data we're using to take care of patients isn't research quality then we're morally obligated to get it there" d…	Sun Nov 16 13:07:49 PST 2014   
trentrosenbloom	@SueWoods from Blue Button to sharable standard #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/aSS6kjIqaG	Sun Nov 16 13:08:00 PST 2014   
arlenechung	RT @trentrosenbloom: @SueWoods from Blue Button to sharable standard #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/aSS6kjIqaG	Sun Nov 16 13:08:15 PST 2014   
trentrosenbloom	@SueWoods "we want to raise the status of PGD so clinicians cannot work without it" #AMIA2014 @AMIAinformatics #PGD #PGHD #S01	Sun Nov 16 13:08:40 PST 2014   
arlenechung	Raise the status of PGHD so that doctors can't live without it! @SueWoods #AMIA2014	Sun Nov 16 13:08:59 PST 2014   
rsm2800	Woods: Goal is to raise the status of PHHD so clinicians can’t work without it #AMIA2014	Sun Nov 16 13:09:17 PST 2014   
ci4cc	RT @puhfu: Ancker study here: http://t.co/vsW0OxL0jX #AMIA2014	Sun Nov 16 13:09:31 PST 2014   
susanchull	@SueWoods #PGHD needs serve back to the patient for their benefit w goal clinicians can't live without it-a cultural revolution #amia2014	Sun Nov 16 13:09:35 PST 2014   
ci4cc	RT @dr_bob: amia now has > 5000 members #amia2014	Sun Nov 16 13:09:36 PST 2014   
bradcrotty	Sue Woods: "we want to raise the status of PGD.. So clinicians can't live without it" #AMIA2014 #PGHD	Sun Nov 16 13:09:36 PST 2014   
ci4cc	RT @puhfu: Ancker: used #MU #CQM for her study because Epic could automatically generate #AMIA2014 #S06 (Could vendor difference impact res…	Sun Nov 16 13:09:41 PST 2014   
randi_epi	Mobile apps can drive patient-generated health data | Data needs to travel in and out of EHR #AMIA2014	Sun Nov 16 13:09:46 PST 2014   
ci4cc	RT @paulaotero: @williamhersh the "bellagio pyramids" we worked on in 2008 are still needed #AMIA2014 http://t.co/ztytItTbG1	Sun Nov 16 13:09:48 PST 2014   
ci4cc	RT @rsm2800: PGHD #AMIA2014 Several presenters noted difficulty getting clinician buy-in post early adopter enthusiasm	Sun Nov 16 13:09:50 PST 2014   
ci4cc	RT @titusschleyer: #S02 Great question: How do you balance the needs of the real world with the idiosyncracies of standards developing proc…	Sun Nov 16 13:09:54 PST 2014   
ci4cc	RT @anitabaum: #AMIA2014 see https://t.co/ZyAFgMhfvI for educational competences for health informatics	Sun Nov 16 13:09:56 PST 2014   
ci4cc	RT @RCBMI: @djvreeman LOINC Want to know more. Indy mtg 12/3 & 12/4. Sign up for a LOINC Premium Membership at booth 320 #AMIA2014 #inform…	Sun Nov 16 13:10:01 PST 2014   
ci4cc	RT @lrasmus: #AMIA2014 #S02 great point/question - dealing with growth in molecular markers we need to represent in standard. Easy to make…	Sun Nov 16 13:10:04 PST 2014   
ci4cc	RT @arlenechung: Gail risk score rollout produced unintended consequences of increased referrals w/o capacity 2 meet them #AMIA2014	Sun Nov 16 13:10:12 PST 2014   
trentrosenbloom	@SueWoods Goals for PGD at the VA #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/TVbpIJQHB8	Sun Nov 16 13:10:14 PST 2014   
ci4cc	RT @paulaotero: #hiba2014 esta en sintonía con #AMIA2014 Detmer actualizo sobre la acreditación interprofesional en BA y ahora en DC http:/…	Sun Nov 16 13:10:20 PST 2014   
ci4cc	RT @dbarthjones: @Health_Affairs/@PCORI Hosting Twitter Chat Mon, Nov 17 2-3 p.m. ET on Patient Engagement in #Research. Use Hashtag -> #Pa…	Sun Nov 16 13:10:25 PST 2014   
ci4cc	RT @mkopinsky: #AMIA2014 #S08 MedMinify is an app that simplifies med regimens to help with adherence. The flip side of what we do in Way t…	Sun Nov 16 13:10:30 PST 2014   
ci4cc	RT @DrDannySands: Kerrigan from @DartmouthHitch: Grow culture to value and make use of #PGHD #AMIA2014	Sun Nov 16 13:10:34 PST 2014   
ci4cc	RT @pattifbrennan: Inspired to get & use #PGHD & want to know where to begin? LB02 1030 Monday to hear IOM's rept: social& behavior domains…	Sun Nov 16 13:10:37 PST 2014   
titusschleyer	#S02 "Getting a bunch of terminology nerds into the same room is like Hollywood getting together all the Munchkin actors." #AMIA2014	Sun Nov 16 13:10:38 PST 2014   
travisosterman	I wish a learning CDS system was not novel. Maybe someday this will be the standard. #S09 #AMIA2014	Sun Nov 16 13:10:38 PST 2014   
paulaotero	RT @titusschleyer: #S02: "HL7 messages can be syntactically correct but semantically bastardized." #AMIA2014	Sun Nov 16 13:10:40 PST 2014   
ci4cc	RT @knitlibrarian: Crowdsourcing to share localized vocabulary work #amia2014	Sun Nov 16 13:10:42 PST 2014   
ci4cc	RT @protact: #mentalhealth interventions are probably the most efficient and yet the easiest to implement, to improve #care. #AMIA2014	Sun Nov 16 13:10:48 PST 2014   
trentrosenbloom	@SueWoods @opennotes in MyHealthEVet “Best communication tool, improves self management, improves care” #AMIA2014 @AMIAinformatics#PGD #S01	Sun Nov 16 13:10:53 PST 2014   
ci4cc	RT @FrankFarach: "Standards will get better if users help improve them through new term requests." YES. How might we reduce turnaround time…	Sun Nov 16 13:10:56 PST 2014   
dieselcmio	I can't hear a dang thing in Lincoln East NLP lecture...there must be a party in Lincoln West #AMIA2014 http://t.co/QC5AywAmSS	Sun Nov 16 13:10:56 PST 2014   
pattifbrennan	@SueWoods #PGD or #PGHD - terminology standards problem! Anyone have a good solution to balancing term standards w/pt voice?? #AMIA2014	Sun Nov 16 13:10:56 PST 2014   
ci4cc	RT @CKuziemsky: @FrankFarach @titusschleyer syntax is computer to computer, semantics brings in people so it's a lot harder #AMIA2014	Sun Nov 16 13:10:59 PST 2014   
arlenechung	RT @trentrosenbloom: @SueWoods Goals for PGD at the VA #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/TVbpIJQHB8	Sun Nov 16 13:11:01 PST 2014   
randi_epi	RT @trentrosenbloom: @SueWoods from Blue Button to sharable standard #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/aSS6kjIqaG	Sun Nov 16 13:11:03 PST 2014   
anitabaum	#AMIA2014 You can listen D.Detmer conference about education at http://t.co/sIk8pqQAsA Health Informatics Department Hospital Italiano BsAs	Sun Nov 16 13:11:04 PST 2014   
ci4cc	RT @blancahimes: "I can help you *meet regulatory requirements* by collecting patient data" is what providers like to hear most from @nwagl…	Sun Nov 16 13:11:05 PST 2014   
ci4cc	RT @titusschleyer: #S02: "Standards that get used get better." - Picture of Don Lindbergh in the background. Great point! #AMIA2014	Sun Nov 16 13:11:07 PST 2014   
susanchull	@SueWoods #BlueButton +@OpenNotes +portal moving to shared data for #Veterans #amia2014	Sun Nov 16 13:11:14 PST 2014   
arlenechung	RT @trentrosenbloom: @SueWoods @opennotes in MyHealthEVet “Best communication tool, improves self management, improves care” #AMIA2014 @AM…	Sun Nov 16 13:11:15 PST 2014   
rsm2800	RT @blancahimes: "I can help you *meet regulatory requirements* by collecting patient data" is what providers like to hear most from @nwagl…	Sun Nov 16 13:11:17 PST 2014   
devinformatics	Many more tablets here than I am used to seeing. #AMIA2014	Sun Nov 16 13:11:18 PST 2014   
susanchull	RT @trentrosenbloom: @SueWoods @opennotes in MyHealthEVet “Best communication tool, improves self management, improves care” #AMIA2014 @AM…	Sun Nov 16 13:11:25 PST 2014   
ci4cc	RT @randi_epi: Mobile apps can drive patient-generated health data | Data needs to travel in and out of EHR #AMIA2014	Sun Nov 16 13:11:36 PST 2014   
ci4cc	RT @bradcrotty: Sue Woods: "we want to raise the status of PGD.. So clinicians can't live without it" #AMIA2014 #PGHD	Sun Nov 16 13:11:39 PST 2014   
paulaotero	RT @anitabaum: #AMIA2014 what a pannel!!! Friedman, Dermer, Lehmann talking about eduaction and acreditation in health informatics http://t…	Sun Nov 16 13:11:43 PST 2014   
susanphdrn	Mary Little #amia2014 ED Noise and Cognition Interruptions. ED noise was not highlighted by staff. http://t.co/u0R1wtCB7e	Sun Nov 16 13:11:51 PST 2014   
kimunertlphd	"Do we have a jackhammer in the cockpit?" Impact of ED noise levels on cognition & workflow. Mary Little from Columbia. #AMIA2014 #S06	Sun Nov 16 13:11:59 PST 2014   
ci4cc	RT @anitabaum: #AMIA2014 You can listen D.Detmer conference about education at http://t.co/sIk8pqQAsA Health Informatics Department Hospita…	Sun Nov 16 13:12:09 PST 2014   
motorcycle_guy	OH at #AMIA2014: This [system] may be like reducing the ability of arsonists to set fire to things by reducing the octane of the fuel	Sun Nov 16 13:12:12 PST 2014   
puhfu	@SusanPhDRN Ironically, I can barely hear her. #AMIA2014	Sun Nov 16 13:12:14 PST 2014   
ci4cc	RT @SusanPhDRN: Mary Little #amia2014 ED Noise and Cognition Interruptions. ED noise was not highlighted by staff. http://t.co/u0R1wtCB7e	Sun Nov 16 13:12:23 PST 2014   
dr_bob	but: not all pghd is generated for doctors, some, for example, is for online communities #amia2014	Sun Nov 16 13:12:25 PST 2014   
trentrosenbloom	@SueWoods VA Launchpad as the next stage of mobile PGD data entry/sharing #AMIA2014 @AMIAinformatics #PGD #PGHD #S01 http://t.co/asT4woNfXa	Sun Nov 16 13:12:25 PST 2014   
trentrosenbloom	RT @titusschleyer: #S02 "Getting a bunch of terminology nerds into the same room is like Hollywood getting together all the Munchkin actors…	Sun Nov 16 13:12:35 PST 2014   
